ID,Type,Priority,Statement,Acceptance Criteria
RQ-01,functional,P0,"Player controls a car on a track","Car responds to keyboard/touch input; car moves on track surface"
RQ-02,functional,P0,"Player scores points by executing controlled drifts","Drift detected → points awarded → displayed on HUD"
RQ-03,functional,P0,"3D graphics using Three.js","Three.js scene renders; car and track visible in browser"
RQ-04,functional,P0,"Physics-based car handling with realistic drift mechanics","Cannon.js or Rapier rigid body; drift state triggers when slip angle exceeded"
RQ-05,functional,P0,"Racetrack environment provided","Track mesh visible; car constrained to track surface"
RQ-06,functional,P0,"Score based on drift angle","Higher angle = higher multiplier; angle tracked in real-time"
RQ-07,functional,P0,"Score based on drift duration","Longer drift = higher cumulative score"
RQ-08,functional,P1,"Speed boost rewards for long drifts","Boost meter fills after sustained drift; boost applied on drift end"
RQ-09,functional,P0,"Visual style: stylized/low-poly","Low-poly car and track models; flat-shaded or toon shading"
RQ-10,functional,P0,"Visual style: vibrant colors","Saturated color palette; track and car visually distinct"
RQ-11,functional,P1,"Visual style: neon accents","Glowing tire trails, track edges, or score pop-ups in neon"
RQ-12,functional,P0,"Dynamic camera movement","Camera follows car with smooth lerp; shifts on drift for dramatic angle"
NFR-01,non-functional,P0,"Smooth 60fps target","requestAnimationFrame loop; physics step fixed at 60Hz"
NFR-02,non-functional,P0,"Responsive controls","Input latency < 1 frame; keyboard WASD/arrows and touch joystick"
NFR-03,non-functional,P0,"Single-player only","No networking; local state only"
NG-01,non-goal,N/A,"No multiplayer","Not in scope"
NG-02,non-goal,N/A,"No audio","Not specified in brief; excluded"
